Model Year;Mfr Name;Division;Carline;Eng Displ;# Cyl;City FE (Guide) - Conventional Fuel;Hwy FE (Guide) - Conventional Fuel;Comb FE (Guide) - Conventional Fuel;City Unadj FE - Conventional Fuel;Hwy Unadj FE - Conventional Fuel;Comb Unadj FE - Conventional Fuel;City Unrd Adj FE - Conventional Fuel;Hwy Unrd Adj FE - Conventional Fuel;Comb Unrd Adj FE - Conventional Fuel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Jaguar Land Rover L;Jaguar;F-TYPE Convertible;2,0;4;23;30;26;29,4134;42,9021;34,2607;22,962;29,9708;25,6626;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Jaguar Land Rover L;Jaguar;F-TYPE Convertible;3,0;6;20;28;23;25;39,2;29,8689;19,8039;27,6137;22,6919;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Jaguar Land Rover L;Jaguar;F-TYPE Coupe;2,0;4;23;30;26;29,4134;42,9021;34,2607;22,962;29,9708;25,6626;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Jaguar Land Rover L;Jaguar;F-TYPE Coupe;3,0;6;20;28;23;25;39,2;29,8689;19,8039;27,6137;22,6919;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Jaguar Land Rover L;Jaguar;F-TYPE S AWD Convertible;3,0;6;18;26;21;22,7;36,1;27,2521;18,117;25,6084;20,8635;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Jaguar Land Rover L;Jaguar;F-TYPE S AWD Coupe;3,0;6;18;26;21;22,7;36,1;27,2521;18,117;25,6084;20,8635;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Jaguar Land Rover L;Jaguar;F-TYPE S Convertible;3,0;6;19;27;22;23,9;37,8;28,6391;19,0003;26,7155;21,8371;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Jaguar Land Rover L;Jaguar;F-TYPE S Coupe;3,0;6;19;27;22;23,9;37,8;28,6391;19,0003;26,7155;21,8371;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Jaguar Land Rover L;Jaguar;F-TYPE SVR AWD Convertible;5,0;8;16;24;18;19,2287;33,7286;23,8408;15,5008;24,0365;18,4489;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Jaguar Land Rover L;Jaguar;F-TYPE SVR AWD Coupe;5,0;8;16;24;18;19,2287;33,7286;23,8408;15,5008;24,0365;18,4489;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Volkswagen Group of;Lamborghini;Aventador Coupe;6,5;12;9;15;11;10,7504;19,6744;13,5074;8,9313;15,0691;10,9357;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Volkswagen Group of;Lamborghini;Aventador Roadster;6,5;12;9;15;11;10,5353;19,271;13,2352;8,739;14,8016;10,7137;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Volkswagen Group of;Lamborghini;Huracan;5,2;10;13;18;15;16;24,1422;18,8627;13,0797;18,2471;14,9899;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Volkswagen Group of;Lamborghini;Huracan 2WD;5,2;10;13;18;15;16;24,19;18,8758;13,0906;18,273;15,0057;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Volkswagen Group of;Lamborghini;Huracan Spyder;5,2;10;13;18;15;16;24,1422;18,8627;13,0797;18,2471;14,9899;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Volkswagen Group of;Lamborghini;Huracan Spyder 2WD;5,2;10;13;18;15;16;24,19;18,8758;13,0906;18,273;15,0057;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;MAZDA;MAZDA;MX-5;2,0;4;26;35;30;34,1;51,8;40,2961;26,2388;35,4845;29,7239;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;MAZDA;MAZDA;MX-5;2,0;4;26;34;29;34;48,6;39,3148;26,1701;33,5269;29,0373;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Mercedes-Benz;Mercedes-Benz;AMG GT (coupe);4,0;8;16;22;18;19,6;30,8;23,4348;15,8028;22,114;18,1314;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Mercedes-Benz;Mercedes-Benz;AMG GT (roadster);4,0;8;16;22;18;19,6;30,8;23,4348;15,8028;22,114;18,1314;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Mercedes-Benz;Mercedes-Benz;AMG GT C (coupe);4,0;8;15;21;17;19,1;28,8;22,512;15,4251;20,7732;17,4463;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Mercedes-Benz;Mercedes-Benz;AMG GT C (roadster);4,0;8;15;20;17;18,4;27,7;21,6747;14,8943;20,0305;16,8371;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Mercedes-Benz;Mercedes-Benz;AMG GT R (coupe);4,0;8;15;20;17;18,3;27,6;21,5708;14,8182;19,9628;16,7621;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Mercedes-Benz;Mercedes-Benz;AMG GT R (roadster);4,0;8;15;20;17;18,3;27,6;21,5708;14,8182;19,9628;16,7621;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Mercedes-Benz;Mercedes-Benz;AMG SLC 43;3,0;6;20;29;23;25,1;41,1;30,431;19,8767;28,829;23,1054;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Mercedes-Benz;Mercedes-Benz;SL 450;3,0;6;20;28;22;24,6;39,3;29,5787;19,5124;27,6779;22,4994;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Mercedes-Benz;Mercedes-Benz;SL 550;4,7;8;17;25;20;21,8;35,7;26,431;17,45;25,3476;20,2956;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Mercedes-Benz;Mercedes-Benz;SLC 300;2,0;4;23;32;27;29,9;46,8;35,7015;23,3153;32,4136;26,6861;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Nissan;NISSAN;370Z;3,7;6;19;26;22;24,2925;37,3224;28,8202;19,2877;26,4025;21,9494;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Nissan;NISSAN;370Z;3,7;6;17;26;20;21,1;36;25,9293;16,9285;25,5432;19,9574;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Nissan;NISSAN;370Z Roadster;3,7;6;18;25;21;22,8735;35,0766;27,1191;18,2452;24,9402;20,752;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;BMW;TOYOTA;Supra 3.0;3,0;6;24;31;26;30,5;43,9;35,3565;23,7377;30,6012;26,4025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;aston martin;Aston Martin Lagonda Ltd;DB11 V12;5,2;12;15;22;18;18,8306;30,8924;22,8444;15,2211;22,1756;17,7222;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;aston martin;Aston Martin Lagonda Ltd;DB11 V8;4,0;8;18;24;20;22,7207;33,8295;26,6603;18,1323;24,1217;20,4132;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;aston martin;Aston Martin Lagonda Ltd;DBS;5,2;12;14;22;17;17,7156;30,6398;21,8661;14,3728;22,0071;17,0315;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Volkswagen Group of;Bentley;Continental GT Convertible;4,0;8;16;26;19;19,0591;31,5783;23,1976;15,5755;25,8394;18,9656;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Volkswagen Group of;Bentley;Continental GT Convertible;6,0;12;12;19;15;15;26,5;18,6401;12,2803;19,216;14,6616;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Ferrari;Ferrari North America, Inc.;GTC4Lusso;6,3;12;12;17;13;14,0895;22,6228;16,97;11,5702;16,5594;13,3849;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Ferrari;Ferrari North America, Inc.;GTC4Lusso T;3,9;8;15;21;17;18,027;29,474;21,8448;14,6104;21,2265;16,994;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Ferrari;Ferrari North America, Inc.;Portofino;3,9;8;16;22;18;19,4902;31,3046;23,4774;15,72;22,4503;18,1715;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Lotus;Lotus Cars Ltd;Evora;3,5;6;17;24;20;20,5584;34,2372;25,0648;16,8596;24,4428;19,5953;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Lotus;Lotus Cars Ltd;Evora;3,5;6;16;24;19;19,5649;32,994;23,9519;16,2346;23,7065;18,9178;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Lotus;Lotus Cars Ltd;Evora GT;3,5;6;17;24;20;21,7107;34,6585;26,0981;17,4295;23,8782;19,8407;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Lotus;Lotus Cars Ltd;Evora GT;3,5;6;17;26;20;19,9668;32,5233;24,1651;16,8703;25,9425;20,021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;BMW;Mini;COOPER CONVERTIBLE;1,5;3;28;36;31;36,8472;53,6132;42,8817;28,1096;36;31,3799;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;BMW;Mini;COOPER S CONVERTIBLE;2,0;4;26;34;29;33,5576;49,5942;39,2721;25,8656;34,138;29,0313;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;BMW;Mini;JOHN COOPER WORKS CONVERTIBLE;2,0;4;25;33;28;32,5;48;38,0256;25,1342;33,1568;28,2052;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Porsche;Porsche;911 Carrera;3,0;6;18;24;20;23,7;35;27,7286;18;24;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Porsche;Porsche;911 Carrera 4;3,0;6;18;24;20;23,7;35;27,7286;18;24;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Porsche;Porsche;911 Carrera 4 Cabriolet;3,0;6;18;24;20;23,6;33,9;27,3378;18;24,1681;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Porsche;Porsche;911 Carrera 4S;3,0;6;18;23;20;23,6;33,7;27,279;18;23;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Porsche;Porsche;911 Carrera 4S;3,0;6;17;24;20;22,4;35,4;26,8345;17;24;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Porsche;Porsche;911 Carrera 4S Cabriolet;3,0;6;18;23;20;23,6;33,4;27,1901;18;23;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
